GEO_NAME,Arab,Black,Chinese,Filipino,Japanese,Korean,Latin American,Multiple Indigenous ancestries (only),Multiple Indigenous and non-Indigenous ancestries,Multiple visible minorities,Single Indigenous ancestry (only),Single Indigenous and non-Indigenous ancestries,South Asian,Southeast Asian,"Visible minority, n.i.e.",West Asian
"Bois-des-Filion, Ville (V)",315.0,895.0,15.0,25.0,0.0,0.0,230.0,0.0,0.0,40.0,32.5,92.5,0.0,20.0,20.0,10.0
"Boisbriand, Ville (V)",880.0,780.0,110.0,65.0,0.0,0.0,525.0,0.0,0.0,80.0,127.5,240.0,185.0,315.0,25.0,190.0
"Boischatel, Municipalité (MÉ)",25.0,110.0,55.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,32.5,93.75,0.0,0.0,0.0,0.0
"Bon Accord, Town (T)",0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.75,82.5,15.0,0.0,0.0,0.0
"Bonfield, Township (TP)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,85.0,108.75,0.0,0.0,0.0,0.0
"Boucherville, Ville (V)",545.0,825.0,480.0,40.0,0.0,30.0,955.0,0.0,0.0,100.0,113.75,455.0,60.0,295.0,35.0,175.0
"Bowen Island, Island municipality (IM)",0.0,30.0,85.0,15.0,25.0,20.0,50.0,0.0,8.0,20.0,0.0,66.25,25.0,0.0,0.0,0.0
"Bowman, Municipalité (MÉ)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,37.5,0.0,0.0,0.0,0.0
"Brackley, Rural municipality (RM)",0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
"Bradford West Gwillimbury, Town (T)",465.0,1270.0,1105.0,870.0,35.0,200.0,1615.0,4.0,4.0,515.0,61.25,298.75,3790.0,1245.0,345.0,1690.0
"Bradwell, Village (VL)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
"Brampton, City (CY)",6675.0,85310.0,7135.0,21055.0,395.0,470.0,13490.0,2.0,55.0,11815.0,471.25,1728.75,340815.0,9100.0,20555.0,7040.0
Brandon,105.0,2870.0,1500.0,870.0,55.0,95.0,2105.0,33.0,79.0,240.0,1961.25,1586.25,2595.0,210.0,35.0,30.0
"Brandon, City (CY)",105.0,2855.0,1500.0,870.0,40.0,95.0,2095.0,31.0,77.0,240.0,1931.25,1530.0,2570.0,210.0,35.0,30.0
"Brant, City (CY)",75.0,640.0,150.0,150.0,30.0,15.0,200.0,0.0,6.0,150.0,147.5,458.75,995.0,80.0,65.0,40.0
Brantford,740.0,4215.0,780.0,1385.0,95.0,340.0,1110.0,5.0,34.0,700.0,1325.0,2413.75,7065.0,1225.0,430.0,290.0
"Brantford, City (CY)",665.0,3570.0,630.0,1235.0,65.0,325.0,905.0,5.0,27.0,550.0,1176.25,1956.25,6070.0,1150.0,370.0,245.0
"Bright, Parish (P)",0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,41.25,10.0,0.0,0.0,0.0
"Britannia No. 502, Rural municipality (RM)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.75,81.25,0.0,0.0,0.0,0.0
Brockville,175.0,200.0,190.0,165.0,35.0,25.0,105.0,0.0,18.0,55.0,157.5,773.75,495.0,40.0,45.0,45.0
