GEO_NAME,Immigrants,Non-immigrants,Non-permanent residents
Fort St. John,959.0,24685.0,720.0
"Fort St. John, City (CY)",849.0,17825.0,715.0
"Fossambault-sur-le-Lac, Ville (V)",9.0,2290.0,0.0
"Fraser Valley D, Regional district electoral area (RDA)",64.0,1750.0,0.0
"Fraser Valley E, Regional district electoral area (RDA)",39.0,1305.0,0.0
"Fraser Valley H, Regional district electoral area (RDA)",61.0,2190.0,0.0
"Fraser-Fort George A, Regional district electoral area (RDA)",52.0,3250.0,0.0
"Fraser-Fort George C, Regional district electoral area (RDA)",63.0,3365.0,0.0
"Fraser-Fort George D, Regional district electoral area (RDA)",61.0,4130.0,0.0
"Fraser-Fort George F, Regional district electoral area (RDA)",28.0,1145.0,0.0
Fredericton,2988.0,95865.0,1790.0
"Fredericton, City (C)",2510.0,52300.0,1745.0
"Frontenac Islands, Township (TP)",45.0,1750.0,0.0
"Fruitvale, Village (VL)",36.0,1750.0,0.0
Gander,99.0,12695.0,80.0
"Gander, Town (T)",95.0,11175.0,80.0
"Garden River No. 490, Rural municipality (RM)",8.0,655.0,0.0
"Gatineau, Ville (V)",13289.0,236230.0,5300.0
"Georgian Bluffs, Township (TP)",189.0,10330.0,0.0
"Georgina, Town (T)",2037.0,39520.0,100.0
"Gibbons, Town (T)",25.0,3070.0,0.0
"Gillies, Township (TP)",6.0,425.0,0.0
"Gladstone, Parish (P)",1.0,465.0,0.0
"Glenelg, Parish (P)",16.0,1470.0,0.0
"Glenwood, Town (T)",1.0,725.0,0.0
"Golden Days, Summer village (SV)",0.0,235.0,0.0
"Gore, Canton (municipalité de) (CT)",39.0,2130.0,0.0
Granby,1308.0,83155.0,670.0
"Granby, Ville (V)",1066.0,62515.0,525.0
"Grand Bay-Westfield, Town (TV)",34.0,4810.0,0.0
"Grand Coulee, Town (T)",8.0,570.0,0.0
Grand Falls-Windsor,76.0,13250.0,100.0
"Grand Falls-Windsor, Town (T)",76.0,13250.0,100.0
Grande Prairie,2697.0,53815.0,1000.0
"Grande Prairie, City (CY)",2697.0,53815.0,1000.0
Greater Sudbury / Grand Sudbury,2842.0,154070.0,3560.0
"Greater Sudbury / Grand Sudbury, City (CV)",2806.0,149620.0,3555.0
"Greenwich, Parish (P)",8.0,1010.0,0.0
"Grenville, Village (VL)",10.0,1770.0,0.0
"Grimsby, Town (T)",1358.0,23380.0,100.0
Guelph,10584.0,123670.0,2715.0
"Guelph, City (CY)",9716.0,105375.0,2680.0
"Guelph/Eramosa, Township (TP)",516.0,11780.0,15.0
Halifax,16009.0,392615.0,17040.0
"Halifax, Regional municipality (RGM)",15749.0,367730.0,16970.0
"Halton Hills, Town (T)",3172.0,50245.0,245.0
Hamilton,55256.0,561180.0,14410.0
"Hamilton, City (C)",40720.0,402725.0,12640.0
"Hampstead, Ville (V)",544.0,4745.0,350.0
"Hampton, Parish (P)",20.0,2865.0,0.0
"Hampton, Town (TV)",40.0,4170.0,0.0
"Hanwell, Rural community (RCR)",71.0,4435.0,0.0
"Harrison Hot Springs, Village (VL)",86.0,1505.0,0.0
"Harvey, Village (VL)",0.0,365.0,0.0
"Hatley, Canton (municipalité de) (CT)",42.0,2065.0,0.0
Hawkesbury,182.0,10980.0,35.0
"Hawkesbury, Town (T)",170.0,9215.0,35.0
"Headingley, Rural municipality (RM)",68.0,3425.0,0.0
High River,861.0,11315.0,150.0
"High River, Town (T)",861.0,11315.0,150.0
"Highlands, District municipality (DM)",84.0,2345.0,0.0
"Hillsborough, Parish (P)",8.0,1365.0,0.0
"Hillsborough, Village (VL)",8.0,1285.0,0.0
"Holyrood, Town (T)",5.0,2370.0,0.0
"Hopewell, Parish (P)",6.0,550.0,0.0
"Hudson, Ville (V)",254.0,4435.0,20.0
"Hughes Brook, Town (T)",0.0,255.0,0.0
"Humber Arm South, Town (T)",0.0,1530.0,0.0
"Hunter River, Rural municipality (RM)",4.0,375.0,0.0
"Ibex Valley, Hamlet (HAM)",11.0,600.0,0.0
"Indian Brook 14, Indian reserve (IRI)",23.0,2645.0,0.0
Ingersoll,278.0,12485.0,30.0
"Ingersoll, Town (T)",278.0,12485.0,30.0
"Innisfil, Town (T)",2271.0,34480.0,260.0
"Irishtown-Summerside, Town (T)",1.0,1120.0,0.0
"Irricana, Town (T)",31.0,1060.0,0.0
"Jarvis Bay, Summer village (SV)",0.0,155.0,0.0
"Johnstons River, Fire district (FD)",0.0,335.0,0.0
Joliette,636.0,47725.0,320.0
"Joliette, Ville (V)",392.0,18955.0,260.0
"Juan de Fuca (Part 1), Regional district electoral area (RDA)",221.0,4280.0,0.0
Kamloops,3032.0,96970.0,2750.0
"Kamloops 1, Indian reserve (IRI)",83.0,3400.0,20.0
"Kamloops, City (CY)",2621.0,82550.0,2675.0
Kawartha Lakes,1579.0,70930.0,195.0
"Kawartha Lakes, City (CY)",1579.0,70930.0,195.0
Kelowna,8844.0,182660.0,4290.0
"Kelowna, City (CY)",6175.0,116175.0,3950.0
Kenora,177.0,13855.0,115.0
"Kenora, City (CY)",177.0,13855.0,115.0
"Kent, District municipality (DM)",237.0,4650.0,40.0
Kentville,410.0,24830.0,370.0
"Kentville, Town (T)",92.0,5845.0,200.0
"King, Township (TP)",1846.0,19945.0,190.0
"Kings, Subd. B, Subdivision of county municipality (SC)",165.0,11285.0,55.0
"Kings, Subd. C, Subdivision of county municipality (SC)",154.0,7700.0,115.0
"Kingsclear, Parish (P)",43.0,2635.0,0.0
Kingston,5630.0,144460.0,3320.0
"Kingston, City (CY)",4912.0,108280.0,3285.0
"Kingston, Parish (P)",22.0,3090.0,0.0
"Kingston, Rural municipality (RM)",19.0,1040.0,0.0
"Kingsville, Town (T)",768.0,18210.0,165.0
"Kirkland, Ville (V)",1739.0,12545.0,495.0
Kitchener - Cambridge - Waterloo,42218.0,399245.0,22250.0
"Kitchener, City (CY)",22041.0,169405.0,9300.0
"Kitimat-Stikine C (Part 1), Regional district electoral area (RDA)",70.0,2835.0,0.0
"Kitimat-Stikine E, Regional district electoral area (RDA)",61.0,3650.0,20.0
"Kootenay Boundary A, Regional district electoral area (RDA)",11.0,1555.0,0.0
"L'Ancienne-Lorette, Ville (V)",266.0,15495.0,75.0
"L'Ange-Gardien, Municipalité (MÉ)",22.0,4868.0,0.0
"L'Assomption, Ville (V)",386.0,21670.0,30.0
"L'Avenir, Municipalité (MÉ)",9.0,1195.0,0.0
"L'Épiphanie, Ville (V)",69.0,8530.0,0.0
"L'Île-Cadieux, Ville (V)",10.0,95.0,0.0
"L'Île-Perrot, Ville (V)",551.0,9035.0,130.0
"La Prairie, Ville (V)",1282.0,21505.0,295.0
"La Pêche, Municipalité (MÉ)",98.0,8115.0,10.0
"LaSalle, Town (T)",1781.0,25785.0,160.0
"Lac-Beauport, Municipalité (MÉ)",118.0,7620.0,110.0
"Lac-Delage, Ville (V)",26.0,675.0,0.0
"Lac-Saint-Joseph, Ville (V)",0.0,310.0,0.0
Lachute,87.0,13030.0,15.0
"Lachute, Ville (V)",87.0,13030.0,15.0
Lacombe,479.0,11410.0,100.0
"Lacombe, City (CY)",479.0,11410.0,100.0
Ladysmith,440.0,13440.0,80.0
"Ladysmith, Town (T)",288.0,7620.0,60.0
"Laird, Township (TP)",4.0,1095.0,0.0
"Lajord No. 128, Rural municipality (RM)",9.0,785.0,10.0
"Lake Country, District municipality (DM)",499.0,13710.0,95.0
"Lakeshore, Town (T)",1491.0,34755.0,50.0
"Langford, City (CY)",2140.0,38000.0,900.0
"Langham, Town (T)",36.0,1370.0,0.0
"Langley, City (CY)",1928.0,21030.0,465.0
"Langley, District municipality (DM)",8434.0,98815.0,2255.0
"Lantzville, District municipality (DM)",126.0,3325.0,10.0
